,cpu_usage,memory_usage,disk_io,network_traffic,db_connections,failed_logins,response_time,thread_count,anomaly,label
162,106.58595579007404,118.73789847096134,203.89728166886147,641.6711659295677,740.0,192.0,3598.141943798135,81.11009021990925,-1,1
185,52.14000494092092,55.38374286711842,299.8080385479151,521.2424149676788,1195.0,128.0,5896.821996608973,96.16750570282416,-1,1
187,94.27171087343127,119.31941789436402,311.49435065724066,521.1119680127889,923.0,87.0,3091.6763600766094,64.48643207184018,-1,1
382,23.76104275690193,78.42435758469355,151.30452931078375,761.5128435247,927.0,165.0,5280.318259468168,79.80740710351164,-1,1
383,89.7424497831924,112.68373274462142,271.5928626182958,525.8074256012909,1088.0,61.0,4888.530380925923,76.38531960436906,-1,1
508,45.48521627944827,54.99411040468636,376.6103071734679,683.2827052552293,919.0,131.0,4775.883503647658,91.0777493957871,-1,1
550,45.865897874729,51.38608784253334,276.1193094921483,799.363192001454,797.0,132.0,3693.6413958072008,71.28037748563474,-1,1
581,40.84712086099199,65.32948612920067,115.97825356138972,660.0551044727968,1014.0,126.0,3227.9497288499765,91.1098553802257,-1,1
619,47.23884024279131,46.20409065347008,347.84225025821,631.5097519567503,1025.0,105.0,4148.985192458834,88.57272608181664,-1,1
726,45.184339330653934,47.80132835953159,124.14779333299636,839.3991087827985,1091.0,105.0,3350.7542218310746,75.09966976162788,-1,1
777,92.52481364448496,123.2228946663532,261.0226637383864,714.9108710315633,1018.0,177.0,3301.888003870046,92.9656921463135,-1,1
885,113.46707325736034,115.50353325040284,226.01144061186807,435.4423846702896,788.0,172.0,4269.621572488916,82.1408904112837,-1,1
944,63.466369960476655,62.31150039361405,343.8783467354699,476.2082140560564,740.0,189.0,4525.197748389791,89.11378817388042,-1,1
957,99.56753219153784,112.72803493274569,265.5257630229953,692.8393297842113,771.0,89.0,5650.5071401929845,70.11440696428052,-1,1
982,85.33023856870787,114.58491644432594,230.5787193310009,851.5423070018551,881.0,131.0,3084.395752803226,62.836128484693305,-1,1
